name,exterior,statTrak,souvenir,lowestPrice,marketHashName,quantity,dopplerClassName
Sticker | SAW (Glitter) | Copenhagen 2024,,False,False,0.92,Sticker | SAW (Glitter) | Copenhagen 2024,330,
Charm | Lil' Crass,,False,False,0.43,Charm | Lil' Crass,321,
MAC-10 | Candy Apple,MINIMAL_WEAR,False,False,0.37,MAC-10 | Candy Apple (Minimal Wear),319,
Drug War Veteran,,False,False,0.85,Sticker | Drug War Veteran,319,
eSports 2013 Winter Case,,False,False,11.82,eSports 2013 Winter Case,318,
Sticker | 3DMAX (Glitter) | Shanghai 2024,,False,False,0.37,Sticker | 3DMAX (Glitter) | Shanghai 2024,315,
PP-Bizon | Space Cat,FIELD_TESTED,False,False,0.15,PP-Bizon | Space Cat (Field-Tested),314,
Rio 2022 Contenders Autograph Capsule,,False,False,0.48,Rio 2022 Contenders Autograph Capsule,314,
Sticker | Evil Geniuses | Stockholm 2021,,False,False,0.15,Sticker | Evil Geniuses | Stockholm 2021,313,
Paris 2023 Mirage Souvenir Package,,False,False,2.59,Paris 2023 Mirage Souvenir Package,312,
Pinups Capsule,,False,False,1.45,Pinups Capsule,312,
M4A1-S | Wash me plz,FIELD_TESTED,False,False,0.35,M4A1-S | Wash me plz (Field-Tested),307,
MAG-7 | Monster Call,FIELD_TESTED,False,False,0.21,MAG-7 | Monster Call (Field-Tested),306,
MAG-7 | Carbon Fiber,FACTORY_NEW,False,False,4.3,MAG-7 | Carbon Fiber (Factory New),306,
M4A1-S | Night Terror,FIELD_TESTED,False,False,0.33,M4A1-S | Night Terror (Field-Tested),304,
Berlin 2019 Legends Autograph Capsule,,False,False,1.33,Berlin 2019 Legends Autograph Capsule,303,
Sticker | 100 Thieves (Holo) | 2020 RMR,,False,False,0.18,Sticker | 100 Thieves (Holo) | 2020 RMR,303,
Sticker | MOUZ (Glitter) | Shanghai 2024,,False,False,0.43,Sticker | MOUZ (Glitter) | Shanghai 2024,300,
CZ75-Auto | Circaetus,FIELD_TESTED,False,False,0.15,CZ75-Auto | Circaetus (Field-Tested),297,
P90 | Wash me,FIELD_TESTED,False,False,0.33,P90 | Wash me (Field-Tested),294,
Sticker | Ninjas in Pyjamas (Glitter) | Antwerp 2022,,False,False,0.18,Sticker | Ninjas in Pyjamas (Glitter) | Antwerp 2022,290,
Sticker | m0NESY | Antwerp 2022,,False,False,0.12,Sticker | m0NESY | Antwerp 2022,290,
Sticker | Renegades (Glitter) | Antwerp 2022,,False,False,0.2,Sticker | Renegades (Glitter) | Antwerp 2022,290,
Copenhagen 2024 Challengers Autograph Capsule,,False,False,0.34,Copenhagen 2024 Challengers Autograph Capsule,287,
Sticker | Green's Problem,,False,False,0.24,Sticker | Green's Problem,286,
Sticker | Tyloo | Stockholm 2021,,False,False,0.27,Sticker | Tyloo | Stockholm 2021,286,
10 Year Birthday Sticker Capsule,,False,False,0.9,10 Year Birthday Sticker Capsule,282,
Sticker | Strike A Pose,,False,False,0.21,Sticker | Strike A Pose,279,
MAG-7 | Wildwood,MINIMAL_WEAR,False,False,1.0,MAG-7 | Wildwood (Minimal Wear),276,
M249 | O.S.I.P.R.,FIELD_TESTED,False,False,0.15,M249 | O.S.I.P.R. (Field-Tested),273,
XM1014 | Zombie Offensive,FIELD_TESTED,False,False,0.15,XM1014 | Zombie Offensive (Field-Tested),272,
Sticker | Stalking Prey,,False,False,0.55,Sticker | Stalking Prey,271,
Sticker | Fnatic (Glitter) | Paris 2023,,False,False,0.14,Sticker | Fnatic (Glitter) | Paris 2023,271,
Stockholm 2021 Dust II Souvenir Package,,False,False,4.79,Stockholm 2021 Dust II Souvenir Package,270,
Sticker | Heroic (Holo) | 2020 RMR,,False,False,0.17,Sticker | Heroic (Holo) | 2020 RMR,270,
Sticker | Terrorist-Tech,,False,False,0.28,Sticker | Terrorist-Tech,270,
G3SG1 | Dream Glade,FIELD_TESTED,False,False,0.15,G3SG1 | Dream Glade (Field-Tested),265,
MP9 | Army Sheen,MINIMAL_WEAR,False,False,0.64,MP9 | Army Sheen (Minimal Wear),264,
Sticker | Ninjas in Pyjamas (Foil) | 2020 RMR,,False,False,0.55,Sticker | Ninjas in Pyjamas (Foil) | 2020 RMR,263,
AUG | Surveillance,FIELD_TESTED,False,False,0.68,AUG | Surveillance (Field-Tested),259,
Sticker | XD,,False,False,0.24,Sticker | XD,259,
Sticker | Ancient Beast,,False,False,0.14,Sticker | Ancient Beast,258,
Chroma 2 Case Key,,False,False,11.5,Chroma 2 Case Key,253,
Sticker | 9z Team | Antwerp 2022,,False,False,0.26,Sticker | 9z Team | Antwerp 2022,253,
Sticker | Astralis | Stockholm 2021,,False,False,0.28,Sticker | Astralis | Stockholm 2021,252,
Sticker | FURIA (Glitter) | Antwerp 2022,,False,False,0.22,Sticker | FURIA (Glitter) | Antwerp 2022,251,
Sticker | Natus Vincere (Holo) | 2020 RMR,,False,False,0.59,Sticker | Natus Vincere (Holo) | 2020 RMR,250,
Austin 2025 Legends Autograph Capsule,,False,False,0.55,Austin 2025 Legends Autograph Capsule,250,
Tec-9 | Tiger Stencil,FIELD_TESTED,False,False,0.49,Tec-9 | Tiger Stencil (Field-Tested),249,
MAG-7 | Wildwood,FIELD_TESTED,False,False,1.0,MAG-7 | Wildwood (Field-Tested),248,
Sticker | BIG (Glitter) | Antwerp 2022,,False,False,0.24,Sticker | BIG (Glitter) | Antwerp 2022,247,
Sticker | Team Liquid (Glitter) | Rio 2022,,False,False,0.19,Sticker | Team Liquid (Glitter) | Rio 2022,246,
Winter Offensive Weapon Case,,False,False,7.26,Winter Offensive Weapon Case,246,
Sticker | Renegades (Holo) | 2020 RMR,,False,False,0.42,Sticker | Renegades (Holo) | 2020 RMR,246,
Sticker | FaZe (Holo) | 2020 RMR,,False,False,0.6,Sticker | FaZe (Holo) | 2020 RMR,245,
Sticker | Wildcard (Glitter) | Shanghai 2024,,False,False,0.54,Sticker | Wildcard (Glitter) | Shanghai 2024,245,
Sticker | FaZe Clan | Copenhagen 2024,,False,False,0.18,Sticker | FaZe Clan | Copenhagen 2024,244,
Sticker | Vitality (Holo) | 2020 RMR,,False,False,0.2,Sticker | Vitality (Holo) | 2020 RMR,243,
Nova | Windblown,FIELD_TESTED,False,False,0.15,Nova | Windblown (Field-Tested),243,
Desert Eagle | Blue Ply,FIELD_TESTED,False,False,0.2,Desert Eagle | Blue Ply (Field-Tested),237,
Sticker | MOUZ | Stockholm 2021,,False,False,0.24,Sticker | MOUZ | Stockholm 2021,236,
Sticker | b1t (Holo) | Stockholm 2021,,False,False,0.49,Sticker | b1t (Holo) | Stockholm 2021,235,
Paris 2023 Anubis Souvenir Package,,False,False,2.18,Paris 2023 Anubis Souvenir Package,234,
Five-SeveN | Midnight Paintover,FIELD_TESTED,False,False,0.37,Five-SeveN | Midnight Paintover (Field-Tested),231,
SG 553 | Dragon Tech,FIELD_TESTED,False,False,0.19,SG 553 | Dragon Tech (Field-Tested),230,
Tec-9 | Red Quartz,FIELD_TESTED,False,False,0.12,Tec-9 | Red Quartz (Field-Tested),229,
Sticker | FlyQuest (Glitter) | Shanghai 2024,,False,False,0.88,Sticker | FlyQuest (Glitter) | Shanghai 2024,229,
Sticker | ECSTATIC (Glitter) | Copenhagen 2024,,False,False,0.4,Sticker | ECSTATIC (Glitter) | Copenhagen 2024,227,
P250 | Forest Night,FIELD_TESTED,False,False,0.7,P250 | Forest Night (Field-Tested),227,
Glock-18 | Oxide Blaze,FIELD_TESTED,True,False,0.24,StatTrak™ Glock-18 | Oxide Blaze (Field-Tested),227,
Berlin 2019 Returning Challengers (Holo/Foil),,False,False,3.32,Berlin 2019 Returning Challengers (Holo-Foil),226,
P90 | Vent Rush,FIELD_TESTED,False,False,0.2,P90 | Vent Rush (Field-Tested),225,
Stockholm 2021 Ancient Souvenir Package,,False,False,2.89,Stockholm 2021 Ancient Souvenir Package,225,
P250 | Cyber Shell,FIELD_TESTED,False,False,0.18,P250 | Cyber Shell (Field-Tested),224,
MP5-SD | Neon Squeezer,FIELD_TESTED,False,False,0.48,MP5-SD | Neon Squeezer (Field-Tested),220,
Sticker | KOI | Copenhagen 2024,,False,False,0.1,Sticker | KOI | Copenhagen 2024,218,
Charm | Whittle Knife,,False,False,0.39,Charm | Whittle Knife,218,
AK-47 | Slate,FIELD_TESTED,False,False,3.57,AK-47 | Slate (Field-Tested),216,
Community Sticker Capsule 1,,False,False,1.79,Community Sticker Capsule 1,214,
PP-Bizon | Cold Cell,FIELD_TESTED,False,False,0.49,PP-Bizon | Cold Cell (Field-Tested),214,
Team Kinguin (Foil) | Cologne 2015,,False,False,35.35,Sticker | Team Kinguin (Foil) | Cologne 2015,214,
M4A1-S | Nitro,FIELD_TESTED,False,False,0.24,M4A1-S | Nitro (Field-Tested),213,
Sticker | FURIA (Glitter) | Paris 2023,,False,False,0.25,Sticker | FURIA (Glitter) | Paris 2023,211,
Sticker | Perfect World (Glitter) | Shanghai 2024,,False,False,0.36,Sticker | Perfect World (Glitter) | Shanghai 2024,211,
Negev | Wall Bang,FIELD_TESTED,False,False,0.33,Negev | Wall Bang (Field-Tested),209,
Desert Eagle | Bronze Deco,FIELD_TESTED,False,False,0.11,Desert Eagle | Bronze Deco (Field-Tested),209,
R8 Revolver | Junk Yard,FIELD_TESTED,False,False,0.15,R8 Revolver | Junk Yard (Field-Tested),209,
Sticker | Movistar Riders | Stockholm 2021,,False,False,0.18,Sticker | Movistar Riders | Stockholm 2021,208,
Sticker | Outsiders (Glitter) | Rio 2022,,False,False,0.5,Sticker | Outsiders (Glitter) | Rio 2022,207,
Tec-9 | Brother,FIELD_TESTED,False,False,0.19,Tec-9 | Brother (Field-Tested),206,
CZ75-Auto | Jungle Dashed,FIELD_TESTED,False,False,0.68,CZ75-Auto | Jungle Dashed (Field-Tested),205,
R8 Revolver | Crazy 8,FIELD_TESTED,False,False,0.2,R8 Revolver | Crazy 8 (Field-Tested),203,
Flickshot,,False,False,0.94,Sticker | Flickshot,203,
AK-47 | Olive Polycam,FIELD_TESTED,False,False,0.32,AK-47 | Olive Polycam (Field-Tested),202,
