name,slope
Sticker__Fnatic_(Holo)__2020_RMR,0.0016
Five-SeveN__Monkey_Business_(Field-Tested),0.0016
Sticker__Scorch_Loop,0.0016
Sticker__Liquid_(Holo)__2020_RMR,0.0016
Antwerp_2022_Contenders_Sticker_Capsule,0.0016
Nova__Candy_Apple_(Factory_New),0.0016
Glock-18__Moonrise_(Factory_New),0.0015
Rio_2022_Champions_Autograph_Capsule,0.0014
P90__Ash_Wood_(Minimal_Wear),0.0014
Glock-18__High_Beam_(Factory_New),0.0014
Sticker__FURIA_(Holo)__2020_RMR,0.0014
Sticker__FaZe_(Holo)__2020_RMR,0.0013
Sticker__North_(Holo)__2020_RMR,0.0013
Desert_Eagle__Mecha_Industries_(Minimal_Wear),0.0013
Sticker__Spirit_(Holo)__2020_RMR,0.0013
MAG-7__Metallic_DDPAT_(Factory_New),0.0013
Copenhagen_2024_Legends_Sticker_Capsule,0.0013
Stockholm_2021_Finalists_Autograph_Capsule,0.0012
Shanghai_2024_Legends_Autograph_Capsule,0.0012
Shanghai_2024_Challengers_Sticker_Capsule,0.0012
AK-47__Redline_(Field-Tested),0.0012
Sticker__Boom_(Holo)__2020_RMR,0.0012
Sticker__ECSTATIC_(Glitter)__Copenhagen_2024,0.0011
Copenhagen_2024_Challengers_Sticker_Capsule,0.0011
SCAR-20__Carbon_Fiber_(Factory_New),0.0011
Galil_AR__Chromatic_Aberration_(Minimal_Wear),0.0011
Desert_Eagle__Trigger_Discipline_(Factory_New),0.001
PP-Bizon__Jungle_Slipstream_(Field-Tested),0.001
Antwerp_2022_Challengers_Sticker_Capsule,0.001
Recoil_Case,0.001
Rio_2022_Challengers_Sticker_Capsule,0.001
MP7__Bloodsport_(Field-Tested),0.001
Sticker__MOUZ__Stockholm_2021,0.001
Sticker__Enemy_Spotted_(Holo),0.001
P250__Franklin_(Minimal_Wear),0.0009
Copenhagen_2024_Contenders_Autograph_Capsule,0.0009
Canals_Pin,0.0009
Desert_Eagle__Oxide_Blaze_(Field-Tested),0.0009
Sticker__Web_Stuck_(Holo),0.0008
SSG_08__Azure_Glyph_(Minimal_Wear),0.0008
Antwerp_2022_Champions_Autograph_Capsule,0.0008
CS:GO_Weapon_Case_3,0.0008
Sticker__Natus_Vincere_(Holo)__2020_RMR,0.0008
Fracture_Case,0.0007
Sticker__Virtus.pro_(Holo)__2020_RMR,0.0007
Rio_2022_Contenders_Sticker_Capsule,0.0007
Sticker__ESPADA_(Holo)__2020_RMR,0.0007
Antwerp_2022_Challengers_Autograph_Capsule,0.0007
2020_RMR_Contenders,0.0007
Gallery_Case,0.0006
Berlin_2019_Legends_Autograph_Capsule,0.0006
Sticker__100_Thieves_(Foil)__2020_RMR,0.0006
Copenhagen_2024_Champions_Autograph_Capsule,0.0006
Huntsman_Weapon_Case,0.0006
Sticker__Boom_Trail_(Glitter),0.0005
Sticker__Flex,0.0005
Sticker__Astralis_(Holo)__2020_RMR,0.0005
AK-47__Olive_Polycam_(Factory_New),0.0005
Revolution_Case,0.0005
Paris_2023_Legends_Sticker_Capsule,0.0005
Sticker__Broken_Fang_(Holo),0.0005
Nova__Yorkshire_(Field-Tested),0.0005
FAMAS__Crypsis_(Field-Tested),0.0004
PP-Bizon__Cold_Cell_(Factory_New),0.0004
2020_RMR_Legends,0.0004
Paris_2023_Contenders_Autograph_Capsule,0.0004
UMP-45__Oscillator_(Minimal_Wear),0.0004
Desert_Eagle__Light_Rail_(Field-Tested),0.0004
Paris_2023_Legends_Autograph_Capsule,0.0004
Shanghai_2024_Challengers_Autograph_Capsule,0.0004
2020_RMR_Challengers,0.0003
MAC-10__Disco_Tech_(Minimal_Wear),0.0003
P250__Verdigris_(Field-Tested),0.0003
Charm__Pinch_O'_Salt,0.0003
Glock-18__Nuclear_Garden_(Factory_New),0.0003
Paris_2023_Challengers_Autograph_Capsule,0.0003
Charm__Whittle_Knife,0.0003
Galil_AR__Akoben_(Field-Tested),0.0003
Rio_2022_Legends_Sticker_Capsule,0.0002
Tec-9__Red_Quartz_(Factory_New),0.0002
AWP__Atheris_(Field-Tested),0.0002
Desert_Eagle__Tilted_(Factory_New),0.0002
Antwerp_2022_Legends_Autograph_Capsule,0.0002
USP-S__Cortex_(Minimal_Wear),0.0001
P250__See_Ya_Later_(Field-Tested),0.0001
Sticker__FaZe__2020_RMR,0.0001
FAMAS__Half_Sleeve_(Field-Tested),0.0001
Sticker__Scorch_Loop_(Reverse),0.0001
Sticker__Gold_Web,0.0001
Charm__Pocket_AWP,0.0
AK-47__Olive_Polycam_(Field-Tested),0.0
Sticker__Virtus.pro_(Gold)__2020_RMR,-0.0
Sticker__Copenhagen_Flames_(Glitter)__Antwerp_2022,-0.0
Paris_2023_Champions_Autograph_Capsule,-0.0
P250__See_Ya_Later_(Minimal_Wear),-0.0001
AWP__Acheron_(Factory_New),-0.0001
SSG_08__Zeno_(Field-Tested),-0.0001
Sticker__Ancient_Beast_(Foil),-0.0001
Copenhagen_2024_Legends_Autograph_Capsule,-0.0002
Charm__Backsplash,-0.0002
Sticker__Stalking_Prey,-0.0002
Glock-18__Water_Elemental_(Field-Tested),-0.0003
Desert_Eagle__Blue_Ply_(Field-Tested),-0.0003
AWP__Capillary_(Field-Tested),-0.0003
AWP__Capillary_(Minimal_Wear),-0.0003
M4A1-S__Mud-Spec_(Field-Tested),-0.0004
Sticker__Drug_War_Veteran,-0.0004
Charm__Big_Kev,-0.0005
Charm__Lil'_Ava,-0.0005
P250__Small_Game_(Field-Tested),-0.0005
P250__Cassette_(Factory_New),-0.0006
M4A1-S__Wash_me_plz_(Minimal_Wear),-0.0006
Sticker__BIG_(Holo)__2020_RMR,-0.0006
SCAR-20__Poultrygeist_(Factory_New),-0.0006
M4A4__Converter_(Factory_New),-0.0006
Charm__Lil'_SAS,-0.0006
AK-47__Ice_Coaled_(Factory_New),-0.0006
M4A1-S__Nitro_(Field-Tested),-0.0007
Galil_AR__Connexion_(Field-Tested),-0.0007
Desert_Eagle__Blue_Ply_(Minimal_Wear),-0.0007
10_Year_Birthday_Sticker_Capsule,-0.0008
Charm__Lil'_Crass,-0.0008
Charm__POP_Art,-0.0008
Glock-18__Nuclear_Garden_(Field-Tested),-0.0008
MAC-10__Pipsqueak_(Minimal_Wear),-0.0008
Galil_AR__Chatterbox_(Well-Worn),-0.0009
SSG_08__Fever_Dream_(Field-Tested),-0.0009
Sticker__Winding_Scorch,-0.0009
M249__Downtown_(Field-Tested),-0.001
M4A1-S__Emphorosaur-S_(Field-Tested),-0.001
Sticker__Boom_Detonation_(Glitter),-0.001
Charm__Hot_Sauce,-0.0011
SSG_08__Abyss_(Minimal_Wear),-0.0011
"Music_Kit__The_Verkkars,_EZ4ENCE",-0.0011
P90__Asiimov_(Field-Tested),-0.0011
AWP__Black_Nile_(Minimal_Wear),-0.0012
Glock-18__Umbral_Rabbit_(Factory_New),-0.0012
AWP__Mortis_(Field-Tested),-0.0012
SSG_08__Fever_Dream_(Minimal_Wear),-0.0012
Sticker__Renegades_(Holo)__2020_RMR,-0.0012
Kilowatt_Case,-0.0012
M4A1-S__Wash_me_plz_(Factory_New),-0.0013
StatTrak™_Glock-18__Moonrise_(Minimal_Wear),-0.0013
SG_553__Dragon_Tech_(Minimal_Wear),-0.0013
USP-S__Cyrex_(Minimal_Wear),-0.0013
Sticker__Bolt_Strike,-0.0013
AK-47__Olive_Polycam_(Minimal_Wear),-0.0013
Death_Sentence_Pin,-0.0015
MP9__Food_Chain_(Minimal_Wear),-0.0015
M4A4__Choppa_(Factory_New),-0.0015
Sticker__High_Heat,-0.0016
Sticker__kennyS__Berlin_2019,-0.0016
M4A1-S__Night_Terror_(Field-Tested),-0.0017
Desert_Eagle__Trigger_Discipline_(Minimal_Wear),-0.0017
Dreams_&_Nightmares_Case,-0.0017
P90__Vent_Rush_(Field-Tested),-0.0017
Desert_Eagle__Mecha_Industries_(Field-Tested),-0.0017
MAC-10__Sakkaku_(Field-Tested),-0.0018
M4A4__Etch_Lord_(Field-Tested),-0.0018
Sawed-Off__Analog_Input_(Field-Tested),-0.0018
Guardian_3_Pin,-0.002
Galil_AR__Chromatic_Aberration_(Field-Tested),-0.002
M4A1-S__Night_Terror_(Minimal_Wear),-0.002
Galil_AR__Control_(Field-Tested),-0.002
Charm__Glamour_Shot,-0.002
