name,doppler_phase,sales_in_last_x_days
Sticker | rain (Glitter) | Copenhagen 2024,,42
USP-S | Cyrex (Minimal Wear),,42
Nova | Candy Apple (Minimal Wear),,41
Dual Berettas | Stained (Field-Tested),,41
AWP | Acheron (Factory New),,41
XM1014 | Zombie Offensive (Factory New),,41
M4A4 | Temukau (Minimal Wear),,41
USP-S | Alpine Camo (Minimal Wear),,41
M4A4 | Tooth Fairy (Field-Tested),,41
M4A1-S | Wash me plz (Factory New),,41
AWP | Pit Viper (Minimal Wear),,41
10 Year Birthday Sticker Capsule,,41
XM1014 | Entombed (Factory New),,41
Sticker | Gambit Gaming (Holo) | Stockholm 2021,,41
Sticker | Boombl4 (Holo) | Stockholm 2021,,40
Buckshot | NSWC SEAL,,40
Desert Eagle | Blue Ply (Field-Tested),,40
Sticker | Zombie Lover,,40
AWP | Printstream (Minimal Wear),,40
Sticker | Scorch Loop,,40
SSG 08 | Rapid Transit (Field-Tested),,40
AWP | Pit Viper (Field-Tested),,39
Paris 2023 Mirage Souvenir Package,,39
Sticker | Copenhagen Flames (Glitter) | Antwerp 2022,,39
Galil AR | Chromatic Aberration (Minimal Wear),,39
Sticker | Vitality (Holo) | Paris 2023,,39
M4A1-S | Fade (Factory New),,39
G3SG1 | Scavenger (Field-Tested),,39
"Music Kit | The Verkkars, EZ4ENCE",,39
MP9 | Starlight Protector (Minimal Wear),,39
USP-S | Guardian (Minimal Wear),,39
Sir Bloody Loudmouth Darryl | The Professionals,,39
Desert Eagle | Blue Ply (Well-Worn),,39
Sticker | Clown Wig,,39
Sticker | Hot Rod Heat,,39
P250 | Epicenter (Field-Tested),,38
P250 | Asiimov (Field-Tested),,38
M4A4 | Choppa (Factory New),,38
Rio 2022 Contenders Autograph Capsule,,38
'Two Times' McCoy | USAF TACP,,38
Nova | Dark Sigil (Minimal Wear),,38
Sticker | Ninjas in Pyjamas (Holo) | 2020 RMR,,38
Five-SeveN | Monkey Business (Field-Tested),,38
Safecracker Voltzmann | The Professionals,,38
MAC-10 | Saibā Oni (Field-Tested),,38
Primeiro Tenente | Brazilian 1st Battalion,,37
"Music Kit | bbno$, u mad!",,37
Galil AR | Green Apple (Factory New),,37
AK-47 | Olive Polycam (Minimal Wear),,37
AK-47 | Crossfade (Minimal Wear),,37
Desert Eagle | Conspiracy (Minimal Wear),,37
M4A4 | Etch Lord (Field-Tested),,37
Sir Bloody Skullhead Darryl | The Professionals,,37
Bloody Darryl The Strapped | The Professionals,,37
FAMAS | Half Sleeve (Field-Tested),,36
Sticker | Team Liquid (Glitter) | Shanghai 2024,,36
AK-47 | Point Disarray (Field-Tested),,36
MP5-SD | Kitbash (Field-Tested),,36
Sticker | Boom Epicenter (Glitter),,36
AWP | Acheron (Minimal Wear),,36
Desert Eagle | Printstream (Factory New),,36
AWP | Asiimov (Battle-Scarred),,36
Rio 2022 Dust II Souvenir Package,,36
Gift Package,,36
Desert Eagle | Heat Treated (Minimal Wear),,36
Sticker | BIG (Holo) | Antwerp 2022,,36
Charm | Glamour Shot,,36
M4A1-S | Night Terror (Minimal Wear),,36
AWP | Wildfire (Field-Tested),,36
Five-SeveN | Midnight Paintover (Field-Tested),,36
CZ75-Auto | Jungle Dashed (Field-Tested),,36
P2000 | Sure Grip (Minimal Wear),,35
AK-47 | Phantom Disruptor (Minimal Wear),,35
P250 | Forest Night (Field-Tested),,35
AWP | Safari Mesh (Field-Tested),,35
PP-Bizon | Cold Cell (Field-Tested),,35
Sawed-Off | Black Sand (Field-Tested),,35
USP-S | Flashback (Field-Tested),,35
USP-S | Whiteout (Minimal Wear),,35
Sticker | Ninjas in Pyjamas (Holo) | Stockholm 2021,,35
Sticker | Outsiders (Glitter) | Antwerp 2022,,35
Desert Eagle | Trigger Discipline (Minimal Wear),,35
MP5-SD | Savannah Halftone (Field-Tested),,35
AK-47 | Slate (Factory New),,35
M4A1-S | Mud-Spec (Field-Tested),,35
Sticker | Blinky,,35
StatTrak™ M4A1-S | Emphorosaur-S (Minimal Wear),,35
'Two Times' McCoy | TACP Cavalry,,35
AK-47 | Midnight Laminate (Field-Tested),,35
